1, 삼성전자, 79,300
2, SK하이닉스, 121,500
3, 카카오, 163,000
4, NAVER, 439,500
5, LG화학, 841,000
6, 삼성전자우, 72,000
7, 삼성바이오로직스, 861,000
8, 삼성SDI, 745,000
9, 현대차, 230,500
10, 셀트리온, 260,500
11, 기아, 88,000
12, POSCO, 341,500
13, 현대모비스, 281,000
14, LG생활건강, 1,696,000
15, LG전자, 160,500
16, SK이노베이션, 272,000
17, 삼성물산, 131,000
18, SK텔레콤, 322,500
19, KB금융, 51,700
20, 신한지주, 38,750
21, SK, 278,000
22, 엔씨소프트, 779,000
23, 한국전력, 24,650
24, LG, 99,700
25, 삼성생명, 76,500
26, SK아이이테크놀로지, 210,000
27, HMM, 42,700
28, 삼성에스디에스, 185,500
29, 아모레퍼시픽, 241,500
30, 삼성전기, 183,000
31, 하나금융지주, 43,100
32, 포스코케미칼, 165,500
33, 하이브, 311,500
34, S-Oil, 104,000
35, SK바이오사이언스, 152,500
36, 넷마블, 135,500
37, KT&G, 83,100
38, 두산중공업, 25,700
39, 대한항공, 30,600
40, SK바이오팜, 131,500
41, 삼성화재, 217,000
42, 롯데케미칼, 270,000
43, 한국조선해양, 126,000
44, 고려아연, 465,000
45, KT, 33,050
46, 한온시스템, 16,100
47, LG디스플레이, 23,450
48, 한화솔루션, 43,100
49, 우리금융지주, 11,300
50, 기업은행, 10,250
